Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
0,2.5038,3.2206,0.0371,2158,47.309,18.18
0,2.1099,3.2027,-0.006,2158,47.309,18.18
0,2.4068,3.2019,0.0192,2158,46.734,18.18
0,2.3326,3.2034,0.0398,2229,46.734,18.18
0,2.4714,3.2034,0.0398,2229,46.734,18.18
0,2.1326,3.2097,0.0251,2229,44.785,18.18
0,2.6498,3.1977,0.0157,2254,44.785,18.18
0,2.4164,3.2003,0.0279,2254,44.785,18.18
0,2.6749,3.176,-0.0637,2254,45.379,18.18
0,2.5756,3.2038,0.0476,2254,45.379,18.18
0,2.4678,3.2771,0.1231,2299,45.379,12.82
0,2.5959,3.2771,0.1231,2299,43.68,12.82
0,2.2619,3.2683,0.0899,2329,43.68,12.82
0,2.7228,3.2532,0.083,2329,43.68,12.82
0,2.2524,3.2289,0.0231,2329,43.68,12.82
0,2.42,3.1331,-0.0143,2329,42.618,12.82
0,2.3805,3.1042,0.0031,2329,42.618,12.82
0,2.2536,3.1042,0.0031,2292,42.618,12.82
0,2.3026,3.0902,-0.0317,2292,40.293,12.82
0,0.1215,3.0886,0.0668,2292,40.293,12.82
0,0.6351,2.9708,0.0352,2292,40.293,13.54
0,0.2951,2.9012,0.0711,2292,41.793,13.54
0,0.7728,2.8584,-0.0079,2119,41.793,13.54
0,0.5836,2.8584,-0.0079,2119,41.793,13.54
0,0.7596,2.7794,-0.0085,2059,42.406,13.54
0,1.7412,2.7136,-0.0214,2059,42.406,13.54
0,2.3134,2.7074,-0.0009,2059,42.406,13.54
0,2.4559,2.7171,0.0593,2158,44.493,13.54
0,1.977,2.7062,-0.0388,2158,44.493,13.54
0,2.2392,2.7062,-0.0388,2202,44.493,13.54
0,2.0046,2.7073,0.024,2202,44.493,10.3
0,2.092,2.689,-0.0388,2260,42.461,10.3
0,2.2428,2.6482,-0.0926,2260,42.461,10.3
0,1.7568,2.642,0.057,2260,42.461,10.3
0,2.5504,2.6282,0.0059,2260,39.635,10.3
0,1.9471,2.6282,0.027,2260,39.635,10.3
0,1.7113,2.5934,0.027,2184,39.635,10.3
0,2.22,2.5808,-0.0323,2184,43.126,10.3
0,2.244,2.5425,0.1158,2124,43.126,10.3
0,1.9028,2.5391,-0.0007,2124,43.126,10.3
0,1.8454,2.5208,0.0698,2180,56.784,7.85
0,2.0668,2.5208,-0.0335,2180,56.784,7.85
0,1.922,2.497,-0.0335,2256,56.784,7.85
0,2.1386,2.4573,-0.0044,2256,56.784,7.85
0,2.2476,2.4556,-0.0126,2256,45.165,7.85
0,2.1781,2.4357,-0.0591,2256,45.165,7.85
0,1.8573,2.4242,-0.0184,2140,45.165,7.85
0,1.9806,2.4312,-0.0355,2140,42.947,7.85
0,1.8334,2.4312,-0.0355,2064,42.947,7.85
0,2.6414,2.5896,0.022,2064,42.947,7.85
0,5.0967,2.4709,0.0071,2064,43.576,11.7
0,-1.4335,2.6488,-0.2002,1693,43.576,11.7
0,0.6554,2.6113,0.8517,1693,43.576,11.7
0,4.1007,2.5922,-0.2785,1412,43.786,11.7
0,1.1439,2.5922,-0.2785,1412,43.786,11.7
0,0.167,2.5519,-0.1052,1412,43.786,11.7
0,1.1546,2.4715,0.0707,1412,43.786,11.7
0,0.3071,2.4935,-0.242,1412,51.352,11.7
0,0.7991,2.3672,-0.0779,1256,51.352,11.7
0,1.8861,2.3014,-0.1381,1256,51.352,11.7
0,2.2691,2.3014,-0.1381,1256,57.375,14.22
0,2.3553,2.3142,0.0895,1384,57.375,14.22
