Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
3,3.9846,3.8742,-0.1012,222,0.314,0
3,3.8972,3.828,-0.0448,222,2.521,0
3,3.7691,3.7551,-0.0501,222,2.521,0
3,3.5285,3.7551,-0.0575,222,2.521,0
3,3.714,3.5976,-0.0575,222,2.992,0
3,3.5931,3.6334,-0.0693,218,2.992,0
3,4.1306,3.7474,-0.0927,218,2.992,0
3,4.3114,3.9708,-0.0085,218,5.255,0
3,4.0947,3.8921,0.0181,210,5.255,0
3,3.9056,3.8921,-0.2131,210,5.255,0
3,3.9427,3.8749,-0.0202,214,1.125,0
3,3.981,3.8569,-0.0202,214,1.125,0
3,3.7428,3.7965,0.0138,214,1.125,0
3,3.8864,3.7939,-0.0235,214,1.125,0
3,3.9654,3.7506,-0.0863,214,1.174,0
3,3.8266,3.7506,-0.0863,214,1.174,0
3,3.9906,3.7326,-0.0128,214,1.174,0
3,3.8972,3.7402,-0.0128,214,3.427,0
3,3.6889,3.7292,0.0884,218,3.427,0
3,3.8074,3.7886,0.1406,218,3.427,0
3,3.9187,3.8132,-0.0181,218,3.131,0
3,3.89,3.8132,-0.0501,218,3.131,0
3,3.8696,3.7849,-0.0554,218,3.131,0
3,3.799,3.8121,-0.0554,218,0.225,0
3,3.7595,3.7556,0.0074,218,0.225,0
3,3.7128,3.6886,-0.0352,218,0.225,0
3,3.7906,3.7139,-0.0011,218,0.225,0
3,3.6207,3.7139,0.0117,218,-0.375,0
3,3.6949,3.683,0.0245,218,-0.375,0
3,3.6374,3.6671,0.0245,218,-0.375,0
3,3.7308,3.6804,0.0692,218,0.471,0
3,3.8601,3.7679,0.0927,218,0.471,0
3,3.9965,3.8551,-0.0085,218,0.471,0
3,3.9726,3.8548,-0.0554,218,3.789,0
3,3.8553,3.8548,0.0224,218,3.789,0
3,3.8026,3.8443,0.1012,218,3.789,0
3,3.8912,3.8375,0.1012,215,-1.258,0
3,3.8816,3.8305,0.1257,215,-1.258,0
3,3.805,3.7998,-0.0032,215,-1.258,0
3,3.7787,3.7899,-0.0213,215,-1.258,0
3,3.817,3.7899,-0.0181,215,-0.92,0
3,3.7643,3.7896,-0.032,215,-0.92,0
3,3.7811,3.78,-0.032,215,-0.92,0
3,3.6183,3.8262,-0.1278,215,3.268,0
3,3.9247,3.8322,-0.1523,211,3.268,0
3,3.8505,3.8707,0.0746,211,3.268,0
3,4.066,3.8707,0.0458,215,4.323,0
3,4.0612,3.9352,0.1289,215,4.323,0
3,4.1115,4.0303,0.1289,215,4.323,0
3,3.9463,4.0263,0.1225,221,2.988,0
3,4.1115,4.0951,-0.0469,221,2.988,0
3,4.1665,4.1579,-0.1097,221,2.988,0
3,4.0875,4.1579,-0.082,221,2.988,0
3,3.1586,4.1121,0.1843,221,4.502,0
3,3.9846,4.2206,0.1843,221,4.502,0
3,3.7595,4.163,0.1523,214,4.502,0
3,4.6286,4.3886,0.2674,214,9.905,0
3,4.4131,4.4431,-0.0405,214,9.905,0
3,4.7579,4.4431,0.049,208,9.905,0
3,4.801,4.5778,-0.0458,208,9.905,0
3,4.7675,4.6656,0.0394,208,10.653,0
3,4.7771,4.6831,0.0394,204,10.653,0
3,4.7986,4.6659,0.065,204,10.653,0
3,3.7787,4.6507,0.0522,204,10.363,0
3,3.8816,4.2558,-0.2333,204,10.363,0
3,4.3676,4.2558,-0.0767,204,10.363,0
3,3.4219,3.6636,-0.0767,204,31.755,0
3,3.1921,3.2271,-0.0053,204,31.755,0
3,-2.8545,0.7322,-2.4309,221,31.755,0
3,-2.9586,-2.6701,3.5644,221,34.723,0
3,-1.9507,-2.9659,2.3713,29,34.723,0
3,-4.1449,-3.1607,2.3713,29,34.723,0
3,-1.1965,1.661,5.3966,0,31.144,0
3,0.0976,0.9794,-2.3255,0,31.144,0
3,2.1386,0.749,0.8692,0,31.144,0
3,-0.1371,0.697,1.0195,1,31.144,0
3,1.3007,0.0465,-0.7478,1,23.316,0
3,-1.4203,0.0465,-0.7478,1,23.316,0
3,0.7392,0.3195,-1.1643,1,23.316,0
3,-0.2197,0.3223,-0.735,56,32.301,0
3,1.3438,0.1918,1.7939,56,32.301,0
3,2.25,-0.0675,-2.3297,107,32.301,0
3,-0.5848,-0.6215,-2.3297,107,35.74,0
3,-0.3813,-0.526,0.6647,153,35.74,0
3,-1.9231,-0.7234,-0.5231,153,35.74,0
3,-0.1682,-0.5151,0.1236,146,35.74,0
3,-0.3537,-0.4494,-0.6093,146,24.54,0
3,-0.7572,-0.2977,-0.6093,171,24.54,0
3,0.7404,-0.2977,-0.9161,171,24.54,0
3,0.6411,0.8698,-0.8746,180,21.493,0
3,1.4587,1.2496,0.1086,180,21.493,0
3,2.3254,1.5645,0.1928,174,21.493,0
3,1.6119,1.7884,0.1928,174,23.543,0
3,1.6933,1.7884,-0.2258,136,23.543,0
3,2.1291,2.1247,-0.2461,136,23.543,0
3,1.643,1.9179,0.2035,19,23.543,0
3,2.5516,2.0523,0.2727,19,28.165,0
3,2.9323,2.0301,0.2727,79,28.165,0
3,2.1458,1.2895,0.3483,79,28.165,0
3,0.4843,1.0794,0.0426,171,30.008,0
3,0.9894,1.0794,0.0959,171,30.008,0
3,2.232,1.3648,0.1971,177,30.008,0
3,1.8226,1.5242,0.1971,177,27.183,0
3,0.3681,1.9379,0.1566,173,27.183,0
3,2.1219,1.7906,-0.6669,173,27.183,0
3,2.7875,1.6908,-0.3068,104,27.183,0
3,2.3254,1.6908,-0.2493,104,20.675,0
3,1.7089,1.7232,-0.408,168,20.675,0
3,1.8154,1.8457,-0.408,168,20.675,0
3,2.7803,2.4599,-0.5326,154,23.485,0
3,2.1458,2.6614,0.1374,154,23.485,0
3,3.5249,2.8773,-0.0863,154,23.485,0
3,3.0173,2.8773,0.1331,58,34.014,0
3,3.9367,3.1271,0.0905,58,34.014,0
3,2.5301,3.1688,0.0905,21,34.014,0
3,3.9463,3.2909,-0.0213,15,28.374,0
3,2.5313,3.2116,-0.0298,15,28.374,0
3,4.1785,3.4082,0.0298,6,28.374,0
3,3.5788,3.5766,-0.0117,6,26.652,0
3,3.38,3.5477,-0.1151,6,26.652,0
3,3.9115,3.5975,-0.1492,1,26.652,0
3,4.3569,3.5975,-0.1492,1,34.084,0
3,3.1897,3.6401,-0.1747,0,34.084,0
3,3.9953,3.7201,-0.0586,0,34.084,0
3,3.3322,3.4891,-0.2493,2,34.084,0
3,3.3322,3.6136,-0.1268,2,22.77,0
3,2.8988,3.6974,-0.5124,2,22.77,0
3,4.7579,3.8125,-0.5124,0,22.77,0
3,3.5788,3.7437,-0.1151,0,25.162,0
3,3.5321,3.7437,0.2066,0,25.162,0
3,3.6865,3.7049,0.0021,0,25.162,0
3,3.4375,3.6859,0.1555,0,22.7,0
3,4.4933,3.7414,0.0149,0,22.7,0
3,3.3022,3.6835,0.0149,0,22.7,0
3,3.8373,3.7935,0.0181,0,16.112,0
3,3.6685,3.664,-0.0906,0,16.112,0
3,3.9091,3.778,-0.0224,5,16.112,0
3,3.9917,4.0604,-0.2077,5,15.31,0
3,3.7811,3.9077,-0.2077,1,15.31,0
3,4.4155,3.9077,0.0202,1,15.31,0
3,3.9714,3.8312,0.0437,2,19.118,0
3,3.5381,3.6113,0.098,2,19.118,0
3,3.0329,3.476,0.1044,5,19.118,0
3,3.3034,3.4119,0.0937,5,19.118,0
3,3.7571,3.4306,0.0937,6,23.667,0
3,3.5668,3.4306,-0.0021,6,23.667,0
3,3.3178,3.4167,-0.0277,6,23.667,0
3,3.6087,3.437,-0.0224,6,13.278,0
3,3.5225,3.4318,-0.0863,6,13.278,0
3,3.3932,3.4518,-0.0863,6,13.278,0
3,3.5392,3.4654,-0.0011,5,19.092,0
3,3.544,3.4819,0.0011,5,19.092,0
3,3.5297,3.4819,0.0074,5,19.092,0
3,3.568,3.4788,-0.0149,5,15.927,0
3,3.544,3.4983,-0.0149,5,15.927,0
3,3.5392,3.5228,-0.0341,4,15.927,0
3,3.5584,3.5204,-0.0479,4,15.927,0
3,3.6135,3.5394,0.0351,4,12.319,0
3,3.6661,3.5394,0.0543,4,12.319,0
3,3.568,3.6072,0.0373,4,12.319,0
3,3.7092,3.657,0.0373,4,13.963,0
3,3.4219,3.6515,-0.0618,4,13.963,0
3,3.7475,3.6037,0.0639,4,13.963,0
3,3.7667,3.5576,0.0266,7,16.682,0
3,3.4483,3.4781,0.0266,7,16.682,0
3,3.3597,3.3794,0.065,12,16.682,0
3,3.3645,3.3794,0.1683,12,16.682,0
3,3.1777,3.2904,0.1406,34,19.047,0
3,3.5464,3.2785,0.1917,34,19.047,0
3,3.2495,3.3848,0.1907,163,19.047,0
3,3.6757,3.6189,0.1971,163,21.747,0
3,3.2926,3.2746,0.1971,170,21.747,0
3,3.975,3.1426,0.0149,170,21.747,0
3,2.9287,3.1426,-0.2653,170,18.936,0
3,2.8856,2.9544,-0.2013,170,18.936,0
3,3.2759,3.0573,-0.18,170,18.936,0
3,3.1586,3.0592,-0.0575,172,29.458,0
3,3.216,3.0917,-0.0575,172,29.458,0
3,2.5983,3.2227,0.0426,172,29.458,0
3,3.2017,3.2227,0.0607,172,21.832,0
3,3.8098,3.2552,0.033,169,21.832,0
3,3.0269,3.2439,-0.0213,169,21.832,0
3,2.809,3.2291,-0.0384,169,21.832,0
3,3.4291,3.2495,-0.0384,169,9.254,0
3,3.1705,3.2599,-0.0341,165,9.254,0
3,3.2256,3.2599,-0.0149,165,9.254,0
3,3.2256,3.2428,0.0074,165,10.803,0
3,3.3752,3.2505,0.0192,165,10.803,0
3,3.3741,3.2642,-0.0213,165,10.803,0
3,3.2998,3.322,-0.0213,165,27.674,0
3,3.495,3.4151,0.0511,165,27.674,0
3,3.6973,3.4627,-0.0117,165,27.674,0
3,3.574,3.4588,0,163,27.674,0
3,3.5596,3.4588,0.0096,163,27.4,0
3,3.6003,3.471,-0.0085,163,27.4,0
3,3.6123,3.4977,-0.0085,163,27.4,0
3,3.5357,3.5096,-0.0011,163,-2.742,0
3,3.5692,3.5113,0.0011,163,-2.742,0
3,3.5644,3.5105,-0.0021,163,-2.742,0
3,3.5895,3.5105,-0.0021,163,-2.835,0
3,3.556,3.5202,-0.0021,163,-2.835,0
3,3.5045,3.5226,0.017,163,-2.835,0
3,3.7655,3.5647,0.017,163,13.892,0
3,3.5536,3.5777,0.017,163,13.892,0
3,3.653,3.5613,0.017,157,13.892,0
3,3.6482,3.5772,0.0085,157,13.892,0
3,3.5692,3.5772,0,157,17.639,0
3,3.5177,3.5606,0.0117,157,17.639,0
3,3.5788,3.5326,0.0117,157,17.639,0
3,3.6518,3.5201,-0.0053,157,29.762,0
3,3.5189,3.515,0.0096,154,29.762,0
3,3.3872,3.4772,0.0117,154,29.762,0
3,3.5177,3.4772,-0.0149,154,28.981,0
3,3.5572,3.5091,0.0128,154,28.981,0
3,3.6207,3.5126,0.0128,148,28.981,0
3,3.3717,3.5046,0.0053,148,11,0
3,3.6027,3.5368,-0.0533,148,11,0
3,3.6207,3.5192,0.0128,154,11,0
3,3.5512,3.5192,-0.0075,154,4.968,0
3,3.4447,3.5132,-0.0043,157,4.968,0
3,3.5345,3.5122,-0.0043,157,4.968,0
3,3.5524,3.5134,-0.0032,160,4.968,0
3,3.5273,3.5142,0.0011,160,5.717,0
3,3.5955,3.5088,-0.0021,160,5.717,0
3,3.5021,3.5088,0.0064,160,5.717,0
3,3.6183,3.4995,-0.0075,160,3.593,0
3,3.4566,3.5015,-0.0075,160,3.593,0
3,3.4806,3.4991,0.0085,160,3.593,0
3,3.5943,3.4849,0.0085,160,3.319,0
3,3.5405,3.4908,-0.0064,156,3.319,0
