Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
2,-0.4447,5.467,-1.671,8555,25.164,9.07
2,3.4459,5.9735,-0.9764,9472,25.164,9.07
2,10.6931,6.3478,-0.9764,9472,25.164,9.07
2,5.0955,6.0335,-1.2651,10311,33.652,9.07
2,0.3909,6.0335,-0.169,10311,33.652,9.07
2,7.8584,7.7311,-3.255,5841,33.652,9.07
2,15.3882,8.1431,3.9526,5841,30.376,9.07
2,5.9885,7.1682,1.3203,7935,30.376,9.07
2,0.5872,6.8026,-0.316,7935,30.376,9.07
2,3.137,8.2194,-0.316,7935,25.81,9.07
2,13.1161,8.2194,-1.6103,7935,25.81,8.96
2,10.7314,8.1417,-2.0797,6800,25.81,8.96
2,0.2676,7.6895,-0.5601,6800,25.81,8.96
2,2.3529,8.1124,-0.5601,6491,22.97,8.96
2,13.7002,7.2708,0.6403,6491,22.97,8.96
2,9.4589,6.4007,-0.6996,8658,22.97,8.96
2,2.0596,6.4007,0.6651,8658,27.158,8.96
2,0.586,6.6931,-2.3041,9418,27.158,8.96
2,12.0782,6.2339,-0.2041,9418,27.158,8.96
2,-0.5381,5.9977,-0.2041,9729,30.121,8.96
2,1.3497,5.6807,-0.9516,9729,30.121,6.59
2,8.931,5.8359,1.5541,9019,30.121,6.59
2,8.7969,5.8359,1.7931,9019,26.357,6.59
2,1.8717,5.3228,-0.1319,9252,26.357,6.59
2,1.0206,4.7977,-0.7596,9252,26.357,6.59
2,8.7706,5.2321,-0.7596,8553,26.357,6.59
2,3.3082,5.1713,-1.4077,8553,26.201,6.59
2,-0.7703,5.6476,-0.8923,9393,26.201,6.59
2,-1.5855,4.6213,-1.3835,9393,26.201,6.59
2,1.3761,4.6213,-3.6923,9006,38.965,6.59
2,3.8493,4.4464,2.4358,9006,38.965,8.75
2,6.7032,2.3266,-0.2558,9006,38.965,8.75
2,0.422,2.9201,-0.2558,9006,51.067,8.75
2,-1.157,3.8447,1.8703,9103,51.067,8.75
2,4.0313,4.2521,-1.6999,9103,51.067,8.75
2,4.0504,4.2521,-2.3811,9103,57.667,8.75
2,1.6873,5.3799,-0.8284,6279,57.667,8.75
2,4.6178,6.5549,2.2304,6279,57.667,8.75
2,9.1704,7.9537,2.2304,4580,57.667,8.75
2,-7.0539,8.6714,1.8309,4580,61.961,8.75
2,-2.7132,8.2009,0.9071,2342,61.961,10.3
2,13.3615,8.2009,0.315,2342,61.961,10.3
2,7.9302,2.8378,-0.6389,6244,51.233,10.3
2,-5.1733,3.4025,-0.4367,6244,51.233,10.3
2,1.2707,3.3072,-0.4367,5966,51.233,10.3
2,6.7774,3.4637,2.4138,5966,65.574,10.3
2,-0.6099,7.2352,2.3877,6339,65.574,10.3
2,-6.3967,7.2352,0.2119,6339,65.574,10.3
2,0.604,7.4897,-0.6661,1905,43.057,10.3
2,13.8331,7.7042,-3.2563,1905,43.057,10.3
2,12.9772,6.465,-3.2563,2724,43.057,8.6
2,-3.9307,7.0238,-3.0414,2724,43.057,8.6
2,6.1214,5.9482,0.2442,2857,63.7,8.6
2,19.9671,7.453,3.1927,2857,63.7,8.6
2,-2.1183,7.453,2.7557,3998,63.7,8.6
2,-6.4554,8.6501,0.9137,3998,35.378,8.6
2,0.2855,7.2355,-1.4169,2415,35.378,8.6
2,14.8207,5.0999,-1.4169,2415,35.378,8.6
2,11.6939,6.6951,-0.956,3286,51.172,8.6
2,-2.8221,6.6951,-0.956,3286,51.172,8.6
2,7.6537,5.5099,-0.6707,2616,51.172,11.27
2,22.232,6.7586,2.1974,2616,41.03,11.27
2,-2.651,8.6188,4.1393,3046,41.03,11.27
2,-7.826,8.3358,0.9252,3046,41.03,11.27
2,13.1951,6.0478,-1.5076,2400,41.03,11.27
2,10.3771,6.0478,-1.5076,2400,30.036,11.27
2,-2.7084,4.4953,-0.3587,2350,30.036,11.27
2,8.6832,5.9356,-2.9599,2350,30.036,11.27
2,18.5305,5.6676,3.7881,2438,52.853,11.27
2,-0.5345,7.7738,5.5007,2438,52.853,11.27
2,-7.9805,8.575,-0.0429,2370,52.853,6.16
2,-1.892,7.1657,-0.4394,2370,33.793,6.16
2,20.8254,7.1657,-0.4394,2043,33.793,6.16
2,8.2654,5.2078,-1.2505,2043,33.793,6.16
2,-2.3888,6.0852,-3.7051,1364,51.057,6.16
2,11.4796,6.3533,-1.1534,1364,51.057,6.16
2,14.148,7.359,1.1333,1517,51.057,6.16
2,-2.1757,8.5559,4.6228,1517,51.057,6.16
2,-6.1992,8.5559,4.6228,753,38.183,6.16
2,-0.1957,7.9449,-0.4443,753,38.183,6.16
2,16.0214,6.8141,-1.951,1136,38.183,6.37
2,12.4014,5.8244,0.9013,1136,29.734,6.37
2,2.329,6.2321,-2.6049,1136,29.734,6.37
2,10.9481,6.7555,1.0265,1136,29.734,6.37
2,20.7979,6.7555,1.0265,1080,49.478,6.37
2,-6.3692,8.8997,4.6933,1080,49.478,6.37
2,-8.3575,9.0553,2.4079,678,49.478,6.37
2,-1.6011,8.0657,-1.4803,678,31.736,6.37
2,23.5009,6.7038,-2.0534,1317,31.736,6.37
2,4.868,6.9896,-5.5457,1317,31.736,6.37
2,4.1557,6.9896,-5.5457,1317,31.736,6.41
2,13.7649,6.8841,0.0796,785,34.956,6.41
2,22.2811,8.1183,6.6042,785,34.956,6.41
2,-0.999,9.0785,6.6042,1375,34.956,6.41
2,-2.3373,9.1488,3.3251,1375,35.595,6.41
2,15.551,8.566,-0.4543,1616,35.595,6.41
2,16.2572,8.566,-1.146,1616,35.595,6.41
2,3.4028,6.2675,-2.7545,2620,38.677,6.41
2,2.6797,5.8926,0.4698,2620,38.677,6.41
2,27.5639,6.6442,1.5055,3640,38.677,6.41
2,10.6452,8.6789,1.5055,3640,40.193,6.41
2,-0.3178,9.3841,5.1771,1581,40.193,6.37
2,-3.4985,9.3154,1.9999,1581,40.193,6.37
2,-1.491,9.3154,-0.1313,727,30.237,6.37
2,17.5717,8.8571,-4.5603,727,30.237,6.37
2,14.7764,6.7512,-1.7525,727,30.237,6.37
2,1.0217,5.974,-1.7525,4285,30.237,6.37
2,7.3891,5.6902,-2.5434,4285,38.352,6.37
2,17.1216,7.4793,3.4102,3953,38.352,6.37
2,6.5895,7.4793,3.9872,3953,38.352,6.37
2,-3.6386,8.9819,1.999,3244,41.952,6.37
2,-5.3744,8.768,-0.7886,3244,41.952,6.55
2,-4.1713,8.1661,-0.7886,1197,41.952,6.55
2,17.0797,4.7769,-4.4707,1197,38.84,6.55
2,4.3569,5.268,-3.0082,8848,38.84,6.55
2,6.6613,5.268,0.8748,8848,38.84,6.55
2,19.6091,7.1445,-0.0063,10668,38.84,6.55
2,2.0309,8.8873,0.6383,10668,43.926,6.55
2,-5.0811,8.5176,0.6383,1165,43.926,6.55
2,6.6062,8.1803,3.2979,1165,43.926,6.55
2,19.0178,7.6026,-1.0636,1980,34.74,6.7
2,-2.6438,7.6026,-3.3944,1980,34.74,6.7
2,11.4497,7.5461,-2.7238,6794,34.74,6.7
2,24.4323,7.045,4.1107,6794,40.218,6.7
2,2.7587,8.8783,4.1107,9900,40.218,6.7
2,-8.591,9.2979,4.0655,9900,40.218,6.7
2,-0.55,8.0126,1.9591,1647,35.252,6.7
2,15.4648,6.079,1.0554,1647,35.252,6.7
2,9.7187,6.079,-0.9599,3922,35.252,6.7
2,-0.3872,5.8771,-2.523,3922,35.252,6.7
2,2.3996,6.8056,0.4445,9390,48.446,6.7
2,14.1001,6.5921,0.4445,9390,48.446,6.8
2,3.5967,8.3436,3.288,8889,48.446,6.8
2,-5.0559,8.1451,2.9622,8889,35.54,6.8
2,-2.6498,8.1451,-1.3331,3373,35.54,6.8
2,11.6029,6.62,-1.3528,3373,35.54,6.8
2,11.9297,3.5213,-2.6874,7452,33.719,6.8
2,-1.9435,5.0843,-2.6874,7452,33.719,6.8
2,2.4918,5.8169,-1.6493,9520,33.719,6.8
2,17.6878,6.9773,2.5301,9520,42.812,6.8
2,3.2867,6.9773,5.8429,8476,42.812,6.8
2,-1.2815,7.6485,1.0554,8476,42.812,6.91
2,-2.6378,8.2455,-3.4327,3013,42.812,6.91
2,7.6525,6.3831,-3.4327,3013,34.135,6.91
2,12.3846,4.788,1.519,7828,34.135,6.91
2,3.5165,5.6376,-3.1932,7828,34.135,6.91
2,2.6809,5.6376,-1.9183,6754,35.796,6.91
2,16.5936,7.3397,0.464,6754,35.796,6.91
2,10.3951,7.0546,0.9794,9270,35.796,6.91
2,2.7527,8.1983,0.9794,9270,34.123,6.91
2,-0.8505,7.7321,-0.4299,4618,34.123,6.91
2,26.0148,5.3534,-0.6586,4618,34.123,6.91
2,8.8711,5.4796,2.0818,6236,47.753,6.91
2,-1.6107,5.4796,-2.3048,6236,47.753,6.91
2,12.4708,5.5252,1.1488,4752,47.753,6.91
2,11.3503,6.8355,4.7377,4752,47.753,6.91
2,-3.2663,8.648,4.7377,5264,37.032,6.91
2,-9.3607,7.2712,-0.1764,5264,37.032,6.91
2,-1.5125,1.8098,-1.6438,4576,37.032,6.91
2,0.2891,1.8098,-5.2618,4576,56.918,6.91
2,5.0979,1.1134,-0.6517,5482,56.918,6.91
2,0.2472,1.0371,-0.0686,5482,56.918,6.91
2,6.5559,4.8742,-0.0686,5546,66.672,6.91
2,10.2717,8.5828,0.1648,5546,66.672,6.91
2,-2.9502,8.3718,2.2091,2800,66.672,6.91
2,-6.9366,8.3718,-0.278,2800,32.704,6.91
2,18.6167,6.5967,-1.4476,1982,32.704,6.91
2,10.4166,6.4427,-4.6205,1982,32.704,6.91
2,-6.1788,7.3977,-4.6205,2073,32.704,6.91
2,9.4685,6.8463,0.0611,2073,48.069,6.91
2,26.0986,9.4589,2.1004,3545,48.069,6.91
2,-8.9106,9.4589,5.9895,3545,48.069,7.02
2,-4.8572,9.4577,0.2625,1335,38.691,7.02
