Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,4.1713,2.741,-0.7551,3379,50.566,0
4,2.8808,4.1331,-0.9586,3043,53.713,0
4,1.1546,4.3329,0.4294,2923,51.805,0
4,3.1945,3.8564,0.2004,3402,29.039,0
4,4.5903,4.3005,0.0385,3437,48.57,0
4,5.4283,3.2532,0.9291,3764,47.346,0
4,5.0548,3.7573,0.2143,3567,19.914,0
4,5.3301,4.283,-0.8137,3266,26.295,0
4,3.8505,3.815,0.3613,3085,49.735,0
4,4.2719,4.5863,-0.0233,3167,43.882,0
4,1.9232,3.4032,-0.0925,3566,20.208,4.28
4,2.1698,3.3579,0.2675,3700,20.368,4.28
4,5.6294,3.5599,0.204,3242,33.809,4.03
4,5.0668,3.6374,0.2109,3084,33.986,4.03
4,3.3585,3.5071,-0.2683,3026,39.533,5.76
4,2.1135,3.2898,0.2549,2990,36.044,5.76
4,1.2695,3.2455,0.1768,3606,33.332,5.51
4,2.5217,4.0894,-0.2612,2958,31.959,5.51
4,3.3393,4.0207,-1.0447,3031,27.784,4.68
4,0.8446,2.6134,1.2611,3606,24.547,4.68
4,1.0038,-0.6295,0.3588,3095,32.15,5.33
4,1.4527,1.3811,-2.5661,3941,44.662,5.33
4,1.8873,2.1226,-0.8174,4729,34.972,4.57
4,0.4579,0.6376,1.2607,4113,21.903,4.57
4,-1.3258,1.1752,-0.7384,2401,46.209,5.62
4,1.2265,3.4738,-1.281,3841,43.408,5.62
4,1.6011,1.7004,-0.4425,4579,46.105,5.44
4,-3.5883,-0.5627,-0.1517,5173,47.095,5.44
4,-0.5704,-0.6412,-0.1898,4703,33.041,5.26
4,5.7228,4.0728,-0.4661,3516,29.207,5.26
4,-0.3501,1.0854,0.1322,4085,25.135,5.15
4,5.1374,4.2794,-0.0213,3045,32.719,5.15
4,6.429,5.2912,-0.2857,2343,18.518,5.04
4,7.9314,6.3023,0.286,2080,19.739,5.04
4,3.4315,4.7561,0.1768,3245,43.604,5
4,3.7212,4.6969,1.1153,3290,49.703,5
4,4.9698,5.286,-0.0162,2894,41.207,5.04
4,5.0069,5.9612,-0.0389,2677,37.617,5.04
4,3.8553,5.1469,-0.4252,2186,26.659,5.04
4,3.5572,3.9268,0.6871,3281,27.976,5.04
4,3.0245,3.3657,-0.0364,3298,25.493,5
4,9.1046,2.7681,0.7119,3190,17.141,5
4,7.1832,4.8762,-0.9605,3000,16.267,4.9
4,2.08,0.5277,0.4776,4073,17.623,4.9
4,3.3022,2.0142,0.8786,3663,19.805,4.9
4,2.1805,2.758,0.3133,3216,50.854,4.9
4,1.4527,2.4104,-1.1088,2846,41.58,4.86
4,4.7878,4.178,-1.0387,2691,41.443,4.86
4,-2.2847,3.4696,-2.2621,3025,38.655,4.82
4,3.5357,1.8171,-0.0733,3406,41.378,4.82
4,7.6166,1.6088,0.1363,3755,42.123,4.82
4,4.9686,3.7023,0.1321,2479,34.808,4.82
4,2.244,3.1248,0.0133,3085,39.273,4.75
4,5.22,3.4392,0.1553,3175,36.583,4.75
4,5.706,3.8996,0.7314,3102,36.484,4.72
4,0.7057,1.9908,0.2088,4124,31.401,4.72
4,-5.0907,2.6648,-0.1128,4014,23.599,4.72
4,0.5968,4.5413,0.0951,3299,19.478,4.72
4,-1.7687,4.3064,-0.019,3501,27.111,4.68
4,-0.9906,3.0499,-0.1156,3420,38.695,4.68
4,8.1828,3.6487,0.3327,3416,38.458,4.68
4,6.4207,4.2644,0.3071,3269,34.201,4.68
4,4.8585,4.0429,-0.834,3237,33.855,4.72
