Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
4,2.3565,4.8913,0.5157,63,14.178,0
4,6.6984,4.7661,-0.3568,63,14.178,0
4,5.1889,4.9819,-0.8084,63,22.092,0
4,1.8418,4.2184,0.3889,63,22.092,0
4,2.7683,3.964,-0.1075,61,22.092,0
4,3.4028,4.6377,-0.1075,61,22.215,0
4,3.3633,3.9386,0.3751,61,22.215,0
4,2.6474,3.4859,-1.5104,61,22.215,0
4,6.7151,4.1703,0.8385,59,22.376,0
4,6.7151,4.1703,0.8385,59,22.376,0
4,2.0524,4.6594,0.9461,59,22.376,0
4,2.9072,4.6594,0.129,59,22.376,0
4,5.8437,4.7885,0.8992,56,21.374,0
4,5.542,5.1611,0.8022,56,21.374,0
4,2.9132,4.5893,0.6925,50,21.374,0
4,-0.5261,3.9591,0.6925,50,17.751,0
4,4.5532,3.5604,2.1253,58,17.751,0
4,2.6414,3.5604,-0.4132,58,17.751,0
4,0.914,1.6822,-1.8822,65,25.497,0
4,1.3988,0.4019,0.9269,65,25.497,0
4,-2.4618,0.5342,0.3335,71,25.497,0
4,-0.5237,1.0189,0.3335,71,25.075,0
4,0.3442,1.0586,0.2686,76,25.075,0
4,-1.6358,1.1712,-0.1315,76,25.075,0
4,-1.8657,1.0473,-0.1522,81,23.246,0
4,2.6594,1.0473,-0.1522,81,23.246,0
4,5.3145,1.4265,-0.5066,72,23.246,0
4,2.4451,2.1792,-0.1032,72,23.246,0
4,2.4343,3.439,0.2975,62,16.345,0
4,3.2495,3.3708,1.1057,62,16.345,0
4,4.5496,3.523,-0.5625,62,16.345,0
4,0.5417,3.523,-0.5625,64,22.579,0
4,-3.1909,2.2794,-0.0505,64,22.579,0
4,0.7488,0.6456,0.7087,97,22.579,0
4,1.017,0.2484,-0.2689,97,22.579,0
4,2.2296,0.4503,-0.19,101,26.012,0
4,2.7228,1.4966,-1.0202,101,26.012,0
4,2.3876,1.4966,-1.0202,90,26.012,0
4,1.983,2.1646,0.763,90,19.507,0
4,1.7029,2.0974,0.172,95,19.507,0
4,0.768,2.5288,0.7962,95,19.507,0
4,0.1802,2.0525,-0.467,100,14.829,0
4,0.0353,1.1578,-0.7951,100,14.829,0
4,1.9782,1.1578,0.3795,130,14.829,0
4,6.8049,1.0541,0.3795,130,22.743,0
4,-0.6422,2.4939,-0.3317,116,22.743,0
4,-2.5995,2.0885,0.485,116,22.743,0
4,2.6127,1.7931,-0.8462,119,22.743,0
4,2.3936,0.9033,-0.8462,119,19.109,0
4,0.2508,0.9033,0.1469,121,19.109,0
4,2.153,0.8405,0.1469,121,19.109,0
4,-1.315,0.3141,-1.3432,121,14.381,0
4,-3.9905,0.0653,0.3188,121,14.381,0
4,0.6195,-0.3947,1.0022,99,14.381,0
4,-0.2735,-0.2782,0.4525,99,13.446,0
4,-0.4399,0.6206,-1.239,97,13.446,0
4,-1.2504,0.6206,-1.239,97,13.446,0
4,0.4962,0.5275,0.828,97,13.446,0
4,0.2903,0.4949,0.3046,93,14.712,0
4,-0.6171,1.4718,0.1459,93,14.712,0
4,0.5884,2.9162,-1.9447,95,14.712,0
4,-0.9966,2.9249,0.3792,95,16.658,0
4,1.5245,2.9249,0.3792,91,16.658,0
4,1.7639,1.6438,0.0345,91,16.658,0
4,3.0628,1.0072,-0.0853,82,15.247,0
4,3.052,1.1867,0.4099,82,15.247,0
4,-0.0257,1.3589,0.5926,73,15.247,0
4,-0.6015,1.6934,0.1221,73,26.832,0
4,-1.1941,1.6934,0.1221,67,26.832,0
4,-0.0509,1.043,-0.7127,67,26.832,0
4,-1.497,0.4153,-0.4359,67,24.134,0
4,-0.325,-0.6621,-0.783,71,24.134,0
4,1.5461,-0.0178,-1.6963,71,24.134,0
4,0.2089,1.1891,1.1852,71,21.362,0
4,0.2999,1.3505,0.6526,68,21.362,0
4,0.3921,1.3505,0.6526,68,21.362,0
4,-0.5381,1.184,0.018,64,20.553,0
4,-1.7855,0.9431,-0.1609,64,20.553,0
4,-0.4543,-0.3231,0.1189,64,20.553,0
4,0.7895,0.125,-1.013,66,20.553,0
4,1.3114,0.8592,-1.0493,66,23.621,0
4,1.2839,0.8592,-1.0493,62,23.621,0
4,1.2241,2.0108,0.3076,62,23.621,0
4,0.9511,1.9171,1.3285,58,27.695,0
4,-0.4291,1.8097,0.2314,58,27.695,0
4,0.3909,1.4924,0.045,58,27.695,0
4,-1.9315,0.3216,-0.1973,58,21.518,0
4,-0.0509,0.3216,-0.1973,62,21.518,0
4,2.4439,0.4252,-0.1201,62,21.518,0
4,2.6426,1.3422,-0.4004,57,19.612,0
4,3.228,2.3154,0.2311,57,19.612,0
4,1.1295,1.7904,1.2822,57,19.612,0
4,-0.4076,1.9918,0.3247,56,19.612,0
4,0.7488,1.9918,0.3247,56,34.281,0
4,0.2125,2.0093,0.2474,56,34.281,0
4,1.4455,1.3586,-0.7023,60,34.281,0
4,-0.0939,0.8864,0.1997,60,27.824,0
4,1.1355,1.3737,-0.0484,60,27.824,0
4,2.5253,1.9721,-0.1197,56,27.824,0
4,2.8761,1.9721,-0.1197,56,27.384,0
4,1.5281,1.7343,0.8626,56,27.384,0
4,1.2959,1.5049,0.3639,60,27.384,0
4,-0.5488,2.3156,0.3639,60,30.448,0
4,-0.9654,0.976,0.2687,60,30.448,0
4,1.4036,0.3077,-0.0764,60,30.448,0
4,2.1291,0.8858,-0.4409,80,27.872,0
4,2.6211,0.8858,-0.4409,80,27.872,0
4,2.1279,2.108,-0.8905,64,27.872,0
4,1.8777,2.0866,-2.6073,64,27.872,0
4,2.2871,4.5074,0.0882,56,27.726,0
4,4.6597,5.4045,-2.1171,56,27.726,0
4,3.1574,4.6476,-0.2886,64,27.726,0
4,8.8149,4.6476,-0.2886,64,22.773,0
4,2.4642,3.5337,-1.8268,64,22.773,0
4,-2.8102,2.5643,0.9049,153,22.773,0
4,2.5109,2.2735,-1.5981,202,21.377,0
4,1.515,2.8394,0.2977,202,21.377,0
4,3.793,4.4473,-0.3942,202,21.377,0
4,3.8086,4.4473,-0.3942,191,21.377,0
4,2.7168,5.0811,0.6806,119,18.627,0
4,5.4953,5.3017,-2.2197,119,18.627,0
4,-1.4455,4.0748,-1.8323,119,18.627,0
4,3.5464,2.9901,-1.9342,84,14.014,0
4,2.9275,2.2655,-0.9389,84,14.014,0
4,3.4171,2.2655,-0.3518,53,14.014,0
4,2.4283,2.9573,-0.3518,53,19.245,0
4,2.6714,3.4652,-0.2066,47,19.245,0
4,2.9132,3.1187,1.6239,47,19.245,0
4,1.491,3.2212,0.2551,47,25.734,0
4,1.892,3.3377,0.9722,47,25.734,0
4,0.9774,3.3377,0.9722,47,25.734,0
4,-0.9666,2.7345,-0.0585,45,25.734,0
4,1.8729,1.8133,1.2161,45,21.981,0
4,4.1617,2.166,-0.7502,45,21.981,0
4,3.4554,2.9739,-1.2093,45,21.981,0
4,3.6841,3.3987,0.5903,41,24.25,0
4,2.2141,3.2612,0.592,41,24.25,0
4,2.5959,3.2612,0.592,41,24.25,0
4,1.6191,3.7429,0.1304,41,30.745,0
4,1.7328,3.5999,0.338,41,30.745,0
4,1.187,2.6637,-0.0146,39,30.745,0
4,1.4707,2.2775,0.1363,39,30.745,0
4,6.1429,2.2775,0.1363,39,36.17,0
4,6.6553,2.6987,-0.2628,39,36.17,0
4,3.1239,3.5101,-0.2018,39,36.17,0
4,-0.1371,3.7011,1.016,36,34.02,0
4,1.7077,3.3602,1.016,36,34.02,0
4,2.1889,3.9631,-0.2566,36,34.02,0
4,-0.3262,4.5562,1.9803,33,27.36,0
4,-0.4112,4.5562,2.2789,33,27.36,0
4,1.5808,4.1168,2.6237,33,27.36,0
4,1.9256,4.0003,1.6799,31,29.977,0
4,1.5688,2.9721,1.6742,31,29.977,0
4,-0.3896,2.2124,1.6742,33,29.977,0
4,1.4539,2.2392,0.3373,33,19.976,0
4,-0.6853,2.5955,0.9523,36,19.976,0
4,-0.6279,2.5955,-0.4988,36,19.976,0
