Activity,ACCELEROMETER Y (m/s²),GRAVITY Y (m/s²),GYROSCOPE Y (rad/s),LIGHT (lux),SOUND LEVEL (dB),LOCATION Speed ( Kmh)
1,2.6187,1.8496,0.0425,263,9.218,4.5
1,-0.4088,1.8496,-0.2737,263,9.218,4.5
1,1.837,1.7383,-0.5045,252,9.218,4.5
1,0.9332,1.3221,0.071,252,16.119,4.5
1,1.3043,1.6007,0.071,197,16.119,4.5
1,2.6678,2.4916,-0.2158,197,16.119,4.5
1,3.5069,2.8509,-0.1849,159,16.119,4.5
1,0.5202,2.8509,-0.3761,159,12.92,4.5
1,2.5696,2.6175,-0.5135,113,12.92,4.5
1,2.8066,2.778,0.0635,113,12.92,4.5
1,3.131,2.5124,0.0635,85,14.63,4.5
1,3.7607,2.7269,0.1601,85,14.63,4.5
1,3.7559,2.674,0.1251,65,14.63,4.5
1,2.4655,2.674,0.3344,65,9.379,4.5
1,2.1829,2.7911,0.3625,44,9.379,4.5
1,3.641,2.3908,-0.3816,44,9.379,4.5
1,3.6769,2.7499,-0.3816,31,9.391,4.5
1,3.1957,2.7157,-0.2174,31,9.391,4.5
1,0.5597,1.8803,-0.3926,22,9.391,4.5
1,2.56,1.8803,0.2799,22,9.391,4.5
1,2.1698,2.0708,-0.2729,22,14.095,4.54
1,1.7723,1.7542,-0.3275,22,14.095,4.54
1,1.4515,1.0799,0.0425,52,14.095,4.54
1,1.394,1.1848,0.0425,52,14.101,4.54
1,0.9631,1.6711,-0.1941,78,14.101,4.54
1,0.4747,1.7201,0.0248,78,14.101,4.54
1,1.5293,1.7201,-0.0588,125,10.032,4.54
1,2.6462,1.7989,0.1887,125,10.032,4.54
1,2.6582,1.7826,0.3524,188,10.032,4.54
1,-0.0736,1.0714,0.3524,188,10.745,4.54
1,1.6251,1.3962,-0.4297,262,10.745,4.54
1,1.2205,1.0871,0.1088,262,10.745,4.54
1,1.2995,1.0871,0.0241,320,10.745,4.54
1,2.0321,0.8211,0.069,320,9.277,4.54
1,0.6602,0.9768,0.5821,320,9.277,4.54
1,0.9966,1.3593,0.5821,320,9.277,4.54
1,-0.0281,0.7741,-0.205,320,10.888,4.54
1,1.9303,1.4266,0.0132,253,10.888,4.54
1,1.558,1.4266,0.0956,253,10.888,4.54
1,0.8242,1.6189,0.0204,184,12.414,4.54
1,1.4036,0.908,0.4498,184,12.414,4.54
1,0.6889,0.9732,0.4498,135,12.414,4.54
1,1.8896,0.8764,-0.2777,135,10.939,4.54
1,1.2181,0.6441,-0.1007,83,10.939,4.54
1,2.4415,0.6441,0.2819,83,10.939,4.54
1,-0.3896,1.0182,-0.3214,83,10.939,4.54
1,1.0577,1.2751,-0.0244,50,11.9,4.54
1,0.6985,1.0036,-0.0244,50,11.9,4.54
1,1.6957,1.0067,0.1464,27,11.9,4.54
1,1.0732,1.1222,-0.0869,27,9.749,4.54
1,1.315,0.6144,0.2465,24,9.749,4.54
1,0.1467,0.6144,0.2465,24,9.749,4.54
1,0.9092,1.0222,0.3476,25,10.004,4.54
1,1.722,1.1439,-0.1993,25,10.004,4.54
1,0.5333,0.0299,0.7422,35,10.004,4.54
1,0.768,-0.4337,0.3224,35,11.074,4.54
1,-1.5748,0.6094,0.1171,112,11.074,4.54
1,-0.1658,0.6094,0.1171,112,11.074,4.54
1,-0.2328,0.9938,-0.6193,137,11.074,4.54
1,3.5428,1.19,0.4955,137,8.056,4.54
1,1.2875,1.2801,0.3733,182,8.056,4.54
1,1.5437,0.3179,-0.1135,182,8.056,4.54
1,0.0066,0.5506,-0.3818,269,10.462,4.54
1,0.4902,0.5506,-0.3818,269,10.462,4.54
1,0.5046,0.9406,-0.037,317,10.462,4.54
1,1.4683,0.6204,0.675,317,11.288,4.54
1,3.817,0.835,-0.5483,336,11.288,4.54
1,-0.6111,1.3891,-0.6964,336,11.288,4.54
1,0.1503,1.1358,-0.1673,284,11.643,4.54
1,1.3462,1.1358,-0.1673,284,11.643,4.54
1,2.4642,1.9601,-0.4379,236,11.643,4.57
1,2.3996,2.6576,0.4958,236,11.643,4.57
1,2.1063,1.5859,-0.355,191,10.143,4.57
1,1.0313,1.3878,-0.2717,191,10.143,4.57
1,2.4188,1.5307,0.191,134,10.143,4.57
1,1.886,1.2167,-0.078,134,8.944,4.57
1,3.2196,1.2167,-0.078,99,8.944,4.57
1,-0.1335,1.7055,0.1091,99,8.944,4.57
1,0.9547,1.7465,0.5535,68,9.731,4.57
1,0.8398,1.5217,-0.3761,68,9.731,4.57
1,2.1135,1.6232,0.0779,42,9.731,4.57
1,1.8094,1.8316,-0.1235,42,9.784,4.57
1,3.0784,1.8316,-0.1235,33,9.784,4.57
1,0.112,1.6432,0.1178,33,9.784,4.57
1,2.5337,1.4926,0.202,33,9.784,4.57
1,1.8549,1.5888,0.0164,33,11.571,4.57
1,0.8925,0.5679,1.4778,33,11.571,4.57
1,0.683,0.4512,0.433,33,11.571,4.57
1,0.2448,0.4512,0.433,78,10.603,4.57
1,1.0182,0.8291,0.0532,78,10.603,4.57
1,0.2544,1.2996,-0.8386,107,10.603,4.57
1,0.9954,1.4057,-0.29,107,10.395,4.57
1,1.916,1.3089,-0.6108,153,10.395,4.57
1,0.9152,0.7116,0.6444,153,10.395,4.57
1,-0.7739,0.7116,0.6444,215,11.092,4.57
1,0.4998,0.8098,-0.1135,215,11.092,4.57
1,0.3214,1.7894,-2.1746,255,11.092,4.57
1,2.9778,1.2225,1.4691,255,11.092,4.57
1,2.8952,1.2421,-0.1686,311,12.62,4.57
1,2.5169,1.1645,-0.8198,311,12.62,4.57
1,-1.4575,1.1645,-0.8198,337,12.62,4.57
1,0.4028,1.5507,0.1663,337,16.145,4.57
1,2.0369,1.1269,0.1858,332,16.145,4.57
1,1.5006,1.4845,-0.423,332,16.145,4.57
1,0.8374,1.5744,0.1199,271,8.891,4.57
1,0.2221,0.2916,1.8006,271,8.891,4.57
1,0.7237,0.5842,-0.8768,190,8.891,4.57
1,1.558,0.5842,-0.8768,190,12.408,4.57
1,-0.0892,0.5292,0.5434,147,12.408,4.57
1,0.8015,-0.4372,1.5563,147,12.408,4.57
1,-2.3888,0.3052,-0.9043,59,12.408,4.54
1,1.4024,0.9073,0.0338,59,12.515,4.54
1,0.6123,1.1291,-0.1877,48,12.515,4.54
1,1.7927,1.1291,-0.1877,48,12.515,4.54
1,1.4539,1.4873,-0.3992,38,21.07,4.54
1,1.1893,1.6596,-0.3685,38,21.07,4.54
1,-0.4914,1.1824,-0.2023,45,21.07,4.54
1,1.7747,1.7645,-2.3021,45,13.636,4.54
1,1.0864,1.4372,1.4941,142,13.636,4.54
1,2.1901,1.4372,1.4941,142,13.636,4.54
1,1.4132,1.4143,-0.5561,216,13.039,4.54
1,2.5588,1.5789,-1.0378,216,13.039,4.54
1,1.4348,1.4128,0.4834,287,13.039,4.54
1,1.0098,1.2109,-0.0161,287,13.039,4.54
1,1.0589,1.2341,0.1951,327,13.014,4.54
